x,y
23.5935,23.5935
70.78049999999999,23.5935
117.9675,23.5935
165.15449999999998,23.5935
212.3415,23.5935
259.5285,23.5935
47.187,64.45864072837631
94.374,64.45864072837631
141.561,64.45864072837631
188.748,64.45864072837631
235.935,64.45864072837631
23.5935,105.32378145675261
70.78049999999999,105.32378145675261
117.9675,105.32378145675261
165.15449999999998,105.32378145675261
212.3415,105.32378145675261
259.5285,105.32378145675261
47.187,146.18892218512892
94.374,146.18892218512892
141.561,146.18892218512892
188.748,146.18892218512892
235.935,146.18892218512892
23.5935,187.05406291350522
70.78049999999999,187.05406291350522
117.9675,187.05406291350522
165.15449999999998,187.05406291350522
212.3415,187.05406291350522
259.5285,187.05406291350522
47.187,227.91920364188152
94.374,227.91920364188152
141.561,227.91920364188152
188.748,227.91920364188152
235.935,227.91920364188152
