9.444755378744911581e-13,1.287938939459280533e-12
7.939619079307770333e-01,1.726196992369215311e+00
1.587923815880781797e+00,3.452393984751234157e+00
2.381891288059451384e+00,5.178588417847216796e+00
3.175847631757985123e+00,6.904787969503517253e+00
3.969809539701667944e+00,8.630984961881898343e+00
4.763771447634999490e+00,1.035718195425989130e+01
5.557733355584571378e+00,1.208337894664704493e+01
6.351695263525643398e+00,1.380957593903274017e+01
7.145657171459659729e+00,1.553577293138436310e+01
7.939619080173026866e+00,1.726196992544206665e+01
8.733649867373472375e+00,1.898813543736946130e+01
9.527658032594654713e+00,2.071461423498706367e+01
1.032162063859323275e+01,2.244081274505746748e+01
1.111558370991907374e+01,2.416701226680230263e+01
1.899964971576753481e+00,4.979909600297996453e-02
2.687060094899547114e+00,1.888407609688143474e+00
3.481022016774812933e+00,3.614604570876787104e+00
4.274991732841459502e+00,5.340797968147279917e+00
5.068945228471086750e+00,7.066999048970066255e+00
5.862907978662235564e+00,8.793195234546550054e+00
6.656870135514963316e+00,1.051938936683333914e+01
7.450846689885727514e+00,1.224557703558143551e+01
8.244823306126376039e+00,1.397176419446552842e+01
9.038804799665189904e+00,1.569797421664218895e+01
9.851762864115114482e+00,1.741551058091058479e+01
1.065399970619075098e+01,1.913787373599175723e+01
1.201852619214555595e+01,2.146825651504018140e+01
1.299257532295414919e+01,2.446705966588768177e+01
3.799929943172886126e+00,0.000000000000000000e+00
4.580664821154465827e+00,1.732215994978805629e+00
5.374625750087160370e+00,3.458414390671869842e+00
6.168594756728542627e+00,5.184615253206156460e+00
6.962820911782566569e+00,7.220124585176134424e+00
7.756511785219992738e+00,8.949472412727162762e+00
8.550476307967924683e+00,1.067566473308846575e+01
9.344440234925542654e+00,1.240186078088352595e+01
1.013841137318646268e+01,1.412811469031388256e+01
1.093850854521865124e+01,1.585171940874418262e+01
1.177262581659614327e+01,1.755909388390648118e+01
1.249097527631701965e+01,1.962411145041245319e+01
1.380872857511826979e+01,2.219068540806115664e+01
1.478909335231826105e+01,2.384846890060780567e+01
5.699964565954084961e+00,5.046373745900947895e-16
6.480703507534872010e+00,1.732217923253411840e+00
7.274663967095526651e+00,3.458417474537115233e+00
8.068803500087060598e+00,5.184745771790776558e+00
8.839389235484251373e+00,6.921504430387505735e+00
9.632644519377326020e+00,8.648026638280713385e+00
1.042656636404823978e+01,1.037424169848225119e+01
1.122052895768102232e+01,1.210043776058630982e+01
1.203402280713457273e+01,1.425955006553295057e+01
1.283416811546762482e+01,1.598292477283486512e+01
1.371271921601307930e+01,1.766779236770031858e+01
1.438367398229275729e+01,1.944585540183424399e+01
1.535140061139604306e+01,2.108118603110003519e+01
1.631649299650645091e+01,2.271832515869829550e+01
7.599999188732372346e+00,1.040754572652198056e-15
8.380737305146650939e+00,1.732241720079713554e+00
