alpha,CL,CD,Cm
-14,-0.8017,0.03424,-0.0822
-13.5,-0.7764,0.03245,-0.0811
-13,-0.7503,0.03076,-0.0801
-12.5,-0.7238,0.02908,-0.0791
-12,-0.698,0.02736,-0.078
-11.5,-0.6745,0.02553,-0.0767
-11,-0.6694,0.02242,-0.0745
-10.5,-0.6512,0.02046,-0.0724
-10,-0.6423,0.01768,-0.07
-9.5,-0.6289,0.01516,-0.0678
-9,-0.6128,0.01285,-0.0656
-8.5,-0.6045,0.011,-0.0616
-8,-0.5637,0.0102,-0.0608
-7.5,-0.5164,0.00957,-0.0608
-7,-0.4655,0.00905,-0.0612
-6.5,-0.4124,0.0086,-0.0619
-6,-0.3583,0.00815,-0.0628
-5.5,-0.303,0.00774,-0.0638
-5,-0.246,0.00746,-0.0651
-4.5,-0.1886,0.00718,-0.0664
-4,-0.1302,0.00699,-0.0678
-3.5,-0.072,0.00674,-0.0692
-3,-0.0136,0.00649,-0.0706
-2.5,0.0452,0.00627,-0.0721
-2,0.0986,0.00456,-0.0739
-1.5,0.159,0.00451,-0.0756
-1,0.2195,0.00448,-0.0772
-0.5,0.2798,0.00441,-0.0789
0,0.3402,0.00436,-0.0806
0.5,0.4005,0.00431,-0.0823
1,0.4609,0.00431,-0.084
1.5,0.5212,0.00432,-0.0856
2,0.5817,0.00431,-0.0873
2.5,0.6384,0.00451,-0.0882
3.5,0.7388,0.00567,-0.0878
4,0.7901,0.00615,-0.0878
4.5,0.8341,0.00698,-0.0866
5,0.8659,0.00827,-0.083
5.5,0.912,0.00877,-0.0821
6.5,1.0033,0.00962,-0.08
7,1.0455,0.00995,-0.0783
8,1.1191,0.0109,-0.0728
8.5,1.1536,0.01154,-0.07
9,1.1888,0.01217,-0.0675
9.5,1.2229,0.01293,-0.0649
10,1.2482,0.01405,-0.0613
10.5,1.2751,0.01523,-0.0583
11,1.3031,0.01654,-0.0558
11.5,1.3323,0.01793,-0.0538
12,1.3527,0.01994,-0.0512
12.5,1.3683,0.02237,-0.0485
13,1.3867,0.02485,-0.0464
13.5,1.407,0.02733,-0.0447
14,1.4312,0.02954,-0.0434
14.5,1.4447,0.03284,-0.0419
15,1.4684,0.03518,-0.0409
15.5,1.4733,0.03937,-0.0395
16,1.4955,0.04208,-0.0388
16.5,1.5167,0.04496,-0.0383
17,1.5128,0.05081,-0.0376
17.5,1.5324,0.05405,-0.0373
18,1.5511,0.05739,-0.0371
18.5,1.5637,0.06144,-0.0371
19,1.5525,0.06846,-0.0376
19.5,1.5697,0.07187,-0.0378
20,1.5839,0.07591,-0.0384
20.5,1.5957,0.08045,-0.0392
21,1.5831,0.08872,-0.0411
21.5,1.5988,0.09288,-0.0424
22,1.611,0.09751,-0.0439
22.5,1.5947,0.10657,-0.0472
23,1.603,0.11179,-0.0496
24,1.5858,0.12678,-0.0568
24.5,1.5626,0.13563,-0.0627
25,1.562,0.14137,-0.0668
